	strain	gisaid_epi_isl	originating_lab	submitting_lab	author
0	hCoV-19/Wuhan/Hu-1/2019	EPI_ISL_402125	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang,Y.-Z., Wu,F., Chen,Y.-M., Pei,Y.-Y., Xu,L., Wang,W., Zhao,S., Yu,B., Hu,Y., Tao,Z.-W., Song,Z.-G., Tian,J.-H., Zhang,Y.-L., Liu,Y., Zheng,J.-J., Dai,F.-H., Wang,Q.-M., She,J.-L. and Zhu,T.-Y.
1	hCoV-19/Taiwan/TSGH-37/2020	EPI_ISL_457733	TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng, Ming-Jr JIAN, Chih-Kai Chang, Jung-Chung Lin, Kuo-Ming Yeh, Chien-Wen Chen, Sheng-Kang Chiu, Hsing-Yi Chung, Shih-Hung Tsai, Kuo-Sheng Hung, Tien-Yao Chang, Feng-Yee Chang, Hung-Sheng Shang
2	hCoV-19/Egypt/CCHE57357_Wave_3_A_009/2021	EPI_ISL_2566518	Genomics Program, Children Cancer Hospital	Genomics Program, Children Cancer Hospital	Hatem,A., ElHaddad,A., Abouelnaga,S., Amer,K., Elnaqeeb,M., Hassan,W., Salah,H., ElHalafawy,A., Farawela,H., Saaid,M., Hossam,M., Ismail,J., Almeldin,A., Said,D., Abdelaziz,H., Mansour,T., Shalaby,L., Soliman,S., Hassan,R., Hammad,M., Hussein,S., Abdo,I., Jalal,D., El-Zayat,M., El-Shaqnqery,H., Diab,A., Yahia,A., Samir,O., Sayed,A.
3	hCoV-19/Wuhan/WH01/2019	EPI_ISL_406798	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen, Yuhai Bi, Weifeng Shi and Zhenhong Hu
4	hCoV-19/Finland/13M43S4/2020	EPI_ISL_1217200	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura, Ravi Kant, Phuoc Truong, Hussein Alburkat, Mert Erdin, Fathiah Zakham, Hannimari Kallio-Kokko, Jenni Virtanen, Maija Suvanto, Essi Korhonen, Sari Hannula, Harri Kangas, Hanna Liimatainen, Satu Kurkela, Hanna Jarva, Maija Lappalainen, Pekka Ellonen, Olli Vapalahti
5	hCoV-19/Taiwan/2/2020	EPI_ISL_406031	Centers for Disease Control, R.O.C. (Taiwan)	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang, Yu-Chi Lin, Jung-Jung Mu, Ming-Tsan Liu, Shu-Ying Li
6	hCoV-19/HongKong/HKPU76-0802/2020	EPI_ISL_419246	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong YIP, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun QUE, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU
7	hCoV-19/HongKong/HKPU23_2601/2020	EPI_ISL_417183	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG, Timothy Ting-Leung NG, Alan Ka-Lun WU, Miranda Chong-Yee YAU, Hiu-Yin LAO, Ming-Pan CHOI, Kingsley King-Gee TAM, Lam-Kwong LEE, Barry Kin-Chung WONG, Alex Yat-Man HO, Kam-Tong Yip, Kwok-Cheung LUNG, Raymond Wai-To LIU, Eugene Yuk-Keung TSO, Wai-Shing LEUNG, Man-Chun CHAN, Yuk-Yung NG, Kit-Man SIN, Kitty Sau-Chun FUNG, Sandy Ka-Yee CHAU, Wing-Kin TO, Tak-Lun Que, David Ho-Keung SHUM, Shea Ping YIP, Wing Cheong YAM, Gilman Kit-Hang SIU
8	hCoV-19/Australia/VIC03/2020	EPI_ISL_416411	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L., Seemann T., Schultz M., Druce J., Taiaroa, G.
9	hCoV-19/Thailand/SI200383-NT/2020	EPI_ISL_437622		Faculty of Medicine	Rodpan,A., Joyjinda,Y., Wacharapluesadee,S., Buathong,R., Ghai,S., Petcharat,S., Bunprakob,S., Sirichan,N., Prasithsirikul,W., Mungaomklang,A., Plipat,T. and Hemachudha,T.
